node    mean	sd	2.5%	97.5%	Rhat	n.eff	scen    MA 	
544	-1.5195	0.6193	-2.9029	-0.4332	1.001	27000	19	22
545	-1.5207	0.614	-2.8677	-0.4398	1.001	27000	20	22
546	-1.4099	0.6021	-2.7488	-0.3713	1.0013	5600	21	22
547	-1.4269	0.6022	-2.7303	-0.3748	1.001	22000	22	22
548	-1.4666	0.6092	-2.8282	-0.4166	1.001	27000	23	22
549	-1.4962	0.6131	-2.8626	-0.4369	1.001	27000	24	22
550	-1.4997	0.616	-2.8737	-0.4401	1.001	20000	25	22
551	-2.0242	1.0782	-4.589	-0.3555	1.0014	24000	1	23
552	-2.1278	1.1031	-4.7384	-0.4299	1.0021	6700	2	23
553	-2.3227	1.2237	-5.1787	-0.5674	1.0549	210	3	23
554	-2.5019	1.0972	-5.0746	-0.7718	1.0011	27000	4	23
555	-2.5878	1.064	-5.0471	-0.8925	1.001	27000	5	23
556	-1.9983	1.197	-4.9087	-0.2325	1.0158	1200	6	23
557	-2.1506	1.3234	-5.274	-0.3399	1.042	360	7	23
558	-2.3356	1.4679	-5.6344	-0.4845	1.0647	270	8	23
559	-2.475	1.2639	-5.3966	-0.6711	1.0345	480	9	23
560	-2.5791	1.1803	-5.4903	-0.7996	1.0063	1600	10	23
561	-1.7705	1.0808	-4.316	-0.0216	1.0015	3300	11	23
562	-1.8924	1.1036	-4.4515	-0.1429	1.0038	1300	12	23
563	-2.0747	1.0927	-4.6084	-0.3233	1.0011	10000	13	23
564	-2.2784	1.1511	-4.9985	-0.4565	1.0019	16000	14	23
565	-2.4139	1.1979	-5.2325	-0.5615	1.0022	3900	15	23
566	-1.6294	1.1919	-4.4033	0.2097	1.0067	1100	16	23
567	-1.8723	1.7103	-5.809	0.09	1.1168	120	17	23
568	-1.9477	1.3927	-5.2051	-0.0326	1.0673	240	18	23
569	-2.0932	1.218	-4.9153	-0.2373	1.009	6600	19	23
570	-2.2369	1.2673	-5.2043	-0.3557	1.0144	820	20	23
571	-1.4308	1.0812	-3.9683	0.2968	1.0012	27000	21	23
572	-1.5632	1.1521	-4.25	0.2476	1.0012	7900	22	23
573	-1.786	1.2146	-4.6987	0.0694	1.0044	1200	23	23
574	-1.9608	1.1835	-4.7727	-0.1034	1.0058	1200	24	23
575	-2.0294	1.1435	-4.5942	-0.1994	1.0046	15000	25	23
576	1.3564	0.2843	0.8204	1.9323	1.0019	2100	1	24
577	1.3394	0.2843	0.7973	1.9161	1.002	1900	2	24
578	1.285	0.2873	0.7375	1.8546	1.001	20000	3	24
579	1.2463	0.2925	0.6813	1.8255	1.001	27000	4	24
580	1.2097	0.2908	0.6473	1.789	1.0014	4000	5	24
581	1.3961	0.2831	0.8577	1.9666	1.0017	2500	6	24
582	1.3732	0.2826	0.8253	1.9397	1.0015	3900	7	24
583	1.3277	0.285	0.7741	1.8968	1.0011	14000	8	24
584	1.2782	0.2906	0.7126	1.862	1.0012	7000	9	24
585	1.2393	0.2889	0.6772	1.811	1.0013	5700	10	24
586	1.4598	0.2748	0.926	2.0075	1.0025	1300	11	24
587	1.421	0.278	0.8881	1.9775	1.0012	7300	12	24
588	1.3793	0.2793	0.8455	1.9349	1.002	1900	13	24
589	1.3249	0.2838	0.7743	1.8976	1.0024	1400	14	24
590	1.2922	0.281	0.7533	1.8615	1.0013	6100	15	24
591	1.5057	0.2729	0.9798	2.0536	1.0016	2900	16	24
592	1.4775	0.2751	0.954	2.0351	1.0012	7100	17	24
593	1.4341	0.2739	0.9036	1.9893	1.002	2000	18	24
594	1.3804	0.2779	0.8467	1.9426	1.0017	2600	19	24
595	1.3504	0.2768	0.8116	1.9089	1.0016	2800	20	24
596	1.5381	0.2745	1.0128	2.0951	1.0014	4200	21	24
597	1.5086	0.2694	0.993	2.0473	1.0025	1300	22	24
598	1.4609	0.2724	0.935	2.0148	1.0012	8200	23	24
599	1.4122	0.2766	0.8778	1.9716	1.0014	4300	24	24
600	1.3781	0.2727	0.8456	1.9198	1.0011	16000	25	24
601	0.7764	0.4502	-0.1028	1.6943	1.0015	3400	1	25
602	0.6893	0.4562	-0.1985	1.5999	1.001	27000	2	25
603	0.5222	0.4661	-0.3757	1.4586	1.0013	6500	3	25
604	0.3424	0.4603	-0.5146	1.2714	1.0014	4100	4	25
605	0.2406	0.4717	-0.6309	1.2021	1.0013	6000	5	25
606	0.8259	0.4644	-0.0671	1.7788	1.0011	17000	6	25
607	0.7365	0.4788	-0.1883	1.7088	1.0011	9900	7	25
608	0.5768	0.4887	-0.3495	1.5528	1.0011	16000	8	25
609	0.3913	0.4764	-0.494	1.3725	1.0024	1400	9	25
610	0.2869	0.4708	-0.576	1.2584	1.0021	1700	10	25
611	0.9415	0.4853	0.0196	1.9569	1.0013	5400	11	25
612	0.8422	0.4936	-0.0923	1.8728	1.0011	10000	12	25
613	0.6784	0.4927	-0.2432	1.6911	1.0012	9200	13	25
614	0.502	0.4888	-0.4074	1.5138	1.001	27000	14	25
615	0.4056	0.4877	-0.4868	1.4121	1.001	27000	15	25
616	1.0636	0.5122	0.1125	2.155	1.0018	2400	16	25
617	0.9777	0.5096	0.0103	2.0164	1.001	27000	17	25
618	0.8041	0.5101	-0.1535	1.85	1.0012	8000	18	25
619	0.628	0.5081	-0.3023	1.6699	1.0019	2200	19	25
620	0.5259	0.4939	-0.38	1.5245	1.0013	6100	20	25
621	1.1391	0.5115	0.1829	2.2266	1.001	27000	21	25
622	1.0505	0.5163	0.0864	2.1183	1.0015	3700	22	25
623	0.8802	0.513	-0.0764	1.9418	1.0027	1200	23	25
624	0.7047	0.5162	-0.2452	1.7713	1.0018	2200	24	25
625	0.6071	0.507	-0.3358	1.6439	1.0017	2500	25	25
626	0.5003	0.4363	-0.4026	1.3109	1.001	27000	1	26
627	0.4056	0.4505	-0.5161	1.2327	1.0013	5600	2	26
628	0.2471	0.4694	-0.707	1.12	1.0013	5900	3	26
629	0.0849	0.4733	-0.8588	0.9773	1.0012	6600	4	26
630	-0.0119	0.4611	-0.9152	0.8851	1.0037	730	5	26
631	0.5619	0.4325	-0.3416	1.3629	1.0015	3800	6	26
632	0.4748	0.4419	-0.4366	1.2904	1.001	22000	7	26
633	0.3029	0.4722	-0.6448	1.1879	1.0012	9400	8	26
634	0.1577	0.4655	-0.7527	1.049	1.001	27000	9	26
635	0.0374	0.464	-0.8645	0.9564	1.001	27000	10	26
636	0.6642	0.4326	-0.227	1.4667	1.0011	10000	11	26
637	0.5838	0.4471	-0.3345	1.424	1.0011	15000	12	26
638	0.4135	0.4603	-0.5241	1.2783	1.0012	7300	13	26
639	0.2453	0.4613	-0.6631	1.128	1.0014	4900	14	26
640	0.1549	0.4592	-0.7345	1.0481	1.0016	2900	15	26
641	0.7548	0.4358	-0.1465	1.5608	1.0016	3100	16	26
642	0.6746	0.4446	-0.2366	1.4898	1.0012	8300	17	26
643	0.5292	0.4516	-0.3785	1.3689	1.0011	13000	18	26
644	0.3599	0.4519	-0.535	1.2215	1.0015	3800	19	26
645	0.2449	0.4508	-0.634	1.1145	1.0013	6900	20	26
646	0.8174	0.4302	-0.0844	1.598	1.0015	3900	21	26
647	0.7423	0.4371	-0.1586	1.5354	1.0012	7900	22	26
648	0.579	0.4473	-0.3239	1.4161	1.0014	4000	23	26
649	0.4008	0.4512	-0.4894	1.2616	1.0014	4700	24	26
650	0.3121	0.4561	-0.5671	1.2065	1.0018	2400	25	26
651	2.2913	0.8759	0.8372	4.2543	1.002	6200	1	27
652	2.2452	0.899	0.7469	4.2503	1.0033	1900	2	27
653	2.135	0.9504	0.564	4.3467	1.0013	6200	3	27
654	2.0181	0.9547	0.3785	4.1701	1.0018	2300	4	27
655	1.9536	1.0144	0.2988	4.2892	1.0013	5300	5	27
656	2.4167	0.955	0.9063	4.5325	1.0047	2600	6	27
657	2.3669	0.9098	0.8495	4.4239	1.0011	9700	7	27
658	2.2496	0.9489	0.6618	4.4185	1.0015	3300	8	27
659	2.147	0.9773	0.527	4.3803	1.001	27000	9	27
660	2.0684	0.9892	0.4054	4.3271	1.0012	7000	10	27
661	2.5639	0.8673	1.1013	4.5672	1.001	27000	11	27
662	2.5327	0.8998	1.02	4.5962	1.0028	2000	12	27
663	2.4347	0.9576	0.833	4.6119	1.0009	27000	13	27
664	2.3045	0.975	0.6703	4.5286	1.001	27000	14	27
665	2.2366	0.9854	0.5776	4.4824	1.0019	2100	15	27
666	2.7472	0.8575	1.2817	4.7075	1.0013	5800	16	27
667	2.6914	0.897	1.1731	4.7277	1.0012	7100	17	27
668	2.6224	0.9932	1.01	4.9218	1.0012	9700	18	27
669	2.4852	0.9844	0.8437	4.7458	1.001	27000	19	27
670	2.4218	1.0263	0.7348	4.7793	1.0024	2500	20	27
671	2.8488	0.8854	1.3671	4.8933	1.001	27000	21	27
672	2.7928	0.9205	1.2791	4.9103	1.001	27000	22	27
673	2.6953	0.9553	1.0907	4.9023	1.0013	5100	23	27
674	2.5769	1.0111	0.9189	4.898	1.0011	12000	24	27
675	2.4873	1.0271	0.7918	4.8894	1.0017	13000	25	27
676	1.9742	0.7003	0.844	3.6206	1.0011	18000	1	28
677	1.9392	0.7069	0.8081	3.5775	1.0024	1900	2	28
678	1.916	0.7094	0.7668	3.5694	1.0009	27000	3	28
679	1.8549	0.7195	0.6876	3.5073	1.0045	830	4	28
680	1.7996	0.6888	0.6714	3.4267	1.0013	6300	5	28
681	2.0076	0.716	0.8611	3.6851	1.0012	6800	6	28
682	1.9896	0.7227	0.826	3.6392	1.0011	13000	7	28
683	1.9516	0.7141	0.8034	3.584	1.0013	5800	8	28
684	1.8716	0.7011	0.7449	3.4903	1.0019	2000	9	28
685	1.8234	0.6844	0.7215	3.4107	1.001	27000	10	28
686	2.0507	0.7145	0.8868	3.7428	1.0011	16000	11	28
687	2.0131	0.6955	0.8853	3.6322	1.001	27000	12	28
688	1.9736	0.6963	0.85	3.6259	1.001	27000	13	28
689	1.9017	0.7059	0.7722	3.53	1.0019	5000	14	28
690	1.8655	0.6838	0.7385	3.4517	1.0016	3000	15	28
691	2.0854	0.7055	0.9537	3.7341	1.001	27000	16	28
692	2.0705	0.7258	0.9221	3.7615	1.0011	10000	17	28
693	2.0119	0.6958	0.8785	3.6301	1.0017	2700	18	28
694	1.9522	0.7058	0.8399	3.5895	1.0046	2100	19	28
695	1.9102	0.6766	0.8072	3.4744	1.0022	1600	20	28
696	2.0802	0.6766	0.9789	3.6491	1.001	27000	21	28
697	2.0812	0.7025	0.9423	3.7242	1.0012	9200	22	28
698	2.0738	0.7949	0.9217	3.7896	1.0056	13000	23	28
699	1.969	0.6815	0.8604	3.5708	1.0018	2300	24	28
700	1.9455	0.6784	0.8359	3.5173	1.0013	6100	25	28
701	1.669	0.466	0.7865	2.5973	1.0016	3200	1	29
702	1.6077	0.469	0.6937	2.5312	1.0012	9600	2	29
703	1.4686	0.4761	0.5631	2.4219	1.001	27000	3	29
704	1.3477	0.4692	0.455	2.2865	1.0024	1400	4	29
705	1.2593	0.4747	0.3634	2.2197	1.0019	2100	5	29
706	1.743	0.4632	0.8462	2.6592	1.0013	5000	6	29
707	1.6827	0.4656	0.7876	2.6149	1.0014	4100	7	29
708	1.5501	0.4788	0.6301	2.501	1.0024	1400	8	29
709	1.4119	0.4767	0.4987	2.3738	1.0013	5000	9	29
710	1.3204	0.4709	0.4152	2.2743	1.0018	2300	10	29
711	1.8664	0.4617	0.9548	2.7733	1.001	27000	11	29
712	1.8004	0.4742	0.8688	2.721	1.0011	14000	12	29
713	1.67	0.4757	0.7546	2.6136	1.0014	4700	13	29
714	1.5394	0.4818	0.6056	2.5025	1.0013	6100	14	29
715	1.4622	0.4735	0.5657	2.4138	1.0014	4900	15	29
716	1.9926	0.4641	1.0792	2.9003	1.0012	7900	16	29
717	1.9133	0.474	0.9883	2.8213	1.001	24000	17	29
718	1.7962	0.4762	0.8673	2.7322	1.0012	6700	18	29
719	1.6478	0.4757	0.7382	2.5919	1.001	22000	19	29
720	1.5645	0.4735	0.6476	2.4942	1.0013	5200	20	29
721	2.0472	0.4622	1.1298	2.9491	1.001	27000	21	29
722	1.9843	0.4622	1.0706	2.8835	1.0012	9300	22	29
723	1.8666	0.4644	0.9584	2.7866	1.0011	12000	23	29
724	1.7259	0.4757	0.8118	2.6829	1.0015	3800	24	29
725	1.6473	0.472	0.7357	2.5891	1.0012	8900	25	29
726	1.0047	0.2265	0.5727	1.4664	1.0012	7800	1	30
727	0.9782	0.2245	0.5414	1.427	1.0011	13000	2	30
728	0.9348	0.2292	0.4937	1.4032	1.001	27000	3	30
729	0.8812	0.2289	0.4442	1.3366	1.0015	3700	4	30
730	0.8581	0.2281	0.4274	1.3248	1.0016	3100	5	30
731	1.0315	0.2307	0.5887	1.498	1.0031	950	6	30
732	1.0103	0.2297	0.5708	1.472	1.001	27000	7	30
733	0.9669	0.2313	0.522	1.4353	1.001	27000	8	30
734	0.9261	0.2282	0.4896	1.3823	1.0011	12000	9	30
735	0.8939	0.2269	0.4633	1.3458	1.0011	18000	10	30
736	1.0991	0.2312	0.6576	1.569	1.0011	16000	11	30
737	1.0695	0.232	0.6285	1.5412	1.0011	12000	12	30
738	1.0254	0.2308	0.5845	1.49	1.0011	18000	13	30
739	0.9813	0.2298	0.5473	1.4406	1.0014	4200	14	30
740	0.9544	0.2297	0.5183	1.4161	1.001	27000	15	30
741	1.1571	0.2327	0.7106	1.6286	1.0009	27000	16	30
742	1.1342	0.231	0.6882	1.5987	1.0018	2400	17	30
743	1.0862	0.2289	0.644	1.5424	1.0013	6100	18	30
744	1.0358	0.226	0.6013	1.4908	1.0015	3600	19	30
745	1.0154	0.224	0.5814	1.4611	1.001	20000	20	30
746	1.1937	0.2271	0.7546	1.6555	1.0017	2800	21	30
747	1.1648	0.2284	0.7234	1.6252	1.0017	2500	22	30
748	1.1186	0.227	0.6764	1.581	1.0013	5100	23	30
749	1.07	0.227	0.6377	1.5246	1.0013	5700	24	30
750	1.0423	0.2215	0.606	1.488	1.001	27000	25	30
751	0.0263	0.597	-1.3171	1.05	1.001	27000	1	31
752	-0.0092	0.5953	-1.3463	1.0073	1.0011	15000	2	31
753	-0.087	0.6046	-1.4247	0.9516	1.0009	27000	3	31
754	-0.1461	0.5768	-1.3809	0.8666	1.001	27000	4	31
755	-0.192	0.5668	-1.4624	0.8113	1.001	20000	5	31
756	0.064	0.6156	-1.296	1.1185	1.001	27000	6	31
757	0.0309	0.6218	-1.3147	1.0902	1.001	27000	7	31
758	-0.0384	0.5996	-1.3526	1.0144	1.0011	18000	8	31
759	-0.1101	0.5952	-1.4062	0.9105	1.0035	9500	9	31
760	-0.1417	0.5821	-1.4305	0.8643	1.001	27000	10	31
761	0.1461	0.6273	-1.2676	1.2088	1.0013	6300	11	31
762	0.1173	0.6256	-1.2698	1.18	1.001	27000	12	31
763	0.0497	0.6058	-1.3014	1.0963	1.0011	13000	13	31
764	-0.028	0.5998	-1.3701	1.018	1.001	20000	14	31
765	-0.059	0.6193	-1.3851	0.9868	1.007	6400	15	31
766	0.2381	0.6592	-1.2319	1.3325	1.0021	9800	16	31
767	0.2047	0.6584	-1.2492	1.3061	1.0009	27000	17	31
768	0.1399	0.6359	-1.2535	1.2074	1.001	27000	18	31
769	0.0798	0.6138	-1.3151	1.1605	1.001	27000	19	31
770	0.0366	0.6089	-1.3179	1.0828	1.001	19000	20	31
771	0.2874	0.7211	-1.2926	1.4141	1.0135	2000	21	31
772	0.262	0.6475	-1.2123	1.3611	1.0011	18000	22	31
773	0.1896	0.6535	-1.2623	1.2854	1.0011	14000	23	31
774	0.1373	0.6277	-1.271	1.2035	1.0016	3100	24	31
775	0.0829	0.6418	-1.3779	1.1576	1.0011	10000	25	31
776	-1.3803	0.5698	-2.5198	-0.2789	1.0014	4900	1	32
777	-1.4229	0.5739	-2.56	-0.2953	1.0011	9800	2	32
778	-1.4786	0.5695	-2.6258	-0.3691	1.0011	9700	3	32
779	-1.5398	0.563	-2.6395	-0.4339	1.001	27000	4	32
780	-1.5676	0.5657	-2.6585	-0.4849	1.001	27000	5	32
781	-1.3572	0.5745	-2.5035	-0.2283	1.001	27000	6	32
782	-1.3956	0.5771	-2.5351	-0.2688	1.0014	4400	7	32
783	-1.4587	0.5775	-2.6013	-0.3429	1.001	27000	8	32
784	-1.5166	0.5613	-2.6261	-0.41	1.001	25000	9	32
785	-1.5309	0.5804	-2.6658	-0.4197	1.0013	6100	10	32
786	-1.297	0.5839	-2.4537	-0.1457	1.001	27000	11	32
787	-1.335	0.5853	-2.4948	-0.1978	1.001	27000	12	32
788	-1.4076	0.5749	-2.5385	-0.2842	1.001	27000	13	32
789	-1.4527	0.5748	-2.5919	-0.3328	1.001	26000	14	32
790	-1.4764	0.567	-2.6076	-0.3749	1.001	27000	15	32
791	-1.2393	0.5947	-2.4117	-0.0861	1.001	20000	16	32
792	-1.2802	0.6061	-2.4453	-0.1189	1.0011	16000	17	32
793	-1.3493	0.5736	-2.4807	-0.2182	1.001	27000	18	32
794	-1.3878	0.5707	-2.5313	-0.2711	1.001	24000	19	32
795	-1.4196	0.5785	-2.5677	-0.294	1.001	22000	20	32
796	-1.1984	0.5919	-2.368	-0.0277	1.0011	16000	21	32
797	-1.2464	0.5836	-2.4125	-0.1099	1.001	27000	22	32
798	-1.2998	0.5813	-2.4399	-0.1644	1.001	19000	23	32
799	-1.3584	0.5757	-2.5039	-0.2406	1.001	27000	24	32
800	-1.3813	0.5702	-2.5311	-0.2773	1.001	27000	25	32
801	0.4195	0.365	-0.3277	1.1007	1.001	27000	1	33
802	0.3882	0.3669	-0.37	1.0825	1.0012	9600	2	33
803	0.3348	0.3808	-0.4482	1.0404	1.001	27000	3	33
804	0.2913	0.3767	-0.4904	0.9914	1.0012	9600	4	33
805	0.2557	0.3842	-0.5414	0.9616	1.0014	4100	5	33
806	0.4552	0.3656	-0.2939	1.139	1.0011	14000	6	33
807	0.4211	0.3662	-0.3213	1.1174	1.001	27000	7	33
808	0.371	0.3722	-0.4024	1.07	1.0011	12000	8	33
809	0.3193	0.3679	-0.4437	1.0075	1.0011	11000	9	33
810	0.2883	0.3871	-0.5113	0.9915	1.0015	27000	10	33
811	0.5068	0.3787	-0.2496	1.2085	1.0031	5800	11	33
812	0.4731	0.3616	-0.2578	1.1621	1.0012	7900	12	33
813	0.4186	0.3642	-0.3308	1.1129	1.0011	19000	13	33
814	0.3685	0.3772	-0.397	1.0676	1.001	27000	14	33
815	0.3424	0.3696	-0.4169	1.0339	1.0011	17000	15	33
816	0.549	0.3681	-0.1907	1.2392	1.0012	21000	16	33
817	0.5163	0.3545	-0.2079	1.1882	1.001	24000	17	33
818	0.4684	0.3612	-0.2546	1.1508	1.0011	16000	18	33
819	0.4188	0.3572	-0.3152	1.0947	1.0011	16000	19	33
820	0.39	0.3574	-0.3473	1.0668	1.001	27000	20	33
821	0.5686	0.356	-0.1495	1.2457	1.0015	3600	21	33
822	0.5404	0.3481	-0.1619	1.2125	1.0011	10000	22	33
823	0.4865	0.3631	-0.2533	1.1676	1.0011	13000	23	33
824	0.4346	0.3552	-0.2774	1.1085	1.001	26000	24	33
825	0.408	0.3688	-0.3373	1.0909	1.0022	7000	25	33
826	-0.0863	0.5014	-1.0436	0.9309	1.001	24000	1	34
827	-0.098	0.4962	-1.0449	0.9156	1.0015	3600	2	34
828	-0.1336	0.4929	-1.0736	0.8585	1.001	27000	3	34
829	-0.156	0.494	-1.115	0.8415	1.001	27000	4	34
830	-0.1675	0.4962	-1.1041	0.8381	1.0014	4300	5	34
831	-0.0624	0.4994	-1.0032	0.9495	1.0011	11000	6	34
832	-0.0719	0.4961	-1.0223	0.9346	1.001	21000	7	34
833	-0.1062	0.5042	-1.0628	0.9181	1.001	27000	8	34
834	-0.1381	0.4938	-1.0831	0.8562	1.001	27000	9	34
835	-0.1455	0.4931	-1.0891	0.8567	1.001	27000	10	34
836	-0.0223	0.5062	-0.9752	1.0243	1.001	27000	11	34
837	-0.0349	0.5005	-0.9951	0.9884	1.0013	5000	12	34
838	-0.0651	0.5148	-1.0179	0.9695	1.0057	6000	13	34
839	-0.0919	0.4899	-1.0237	0.8844	1.001	20000	14	34
840	-0.108	0.4871	-1.0311	0.881	1.001	27000	15	34
841	0.017	0.4988	-0.9336	1.0361	1.001	19000	16	34
842	-0.0066	0.5037	-0.9721	1.0059	1.001	27000	17	34
843	-0.0236	0.5	-0.9572	0.9963	1.001	23000	18	34
844	-0.0512	0.5	-1.0122	0.953	1.0011	15000	19	34
845	-0.0637	0.4988	-1.0188	0.9399	1.0011	15000	20	34
846	0.0327	0.4914	-0.9089	1.0472	1.0011	13000	21	34
847	0.0238	0.4931	-0.9123	1.0292	1.0009	27000	22	34
848	-0.0063	0.5039	-0.9612	1.0125	1.0012	7500	23	34
849	-0.0239	0.498	-0.9657	0.9673	1.0009	27000	24	34
850	-0.0417	0.4893	-0.9703	0.9542	1.0015	3500	25	34
851	1.1457	0.364	0.4069	1.8658	1.0009	27000	1	35
852	1.1373	0.3675	0.3861	1.8477	1.001	27000	2	35
853	1.1026	0.3806	0.3217	1.8386	1.0011	16000	3	35
854	1.0806	0.3847	0.2782	1.8183	1.001	27000	4	35
855	1.0607	0.383	0.2702	1.8024	1.001	24000	5	35
856	1.1945	0.3554	0.4617	1.8799	1.0013	6000	6	35
857	1.1839	0.3644	0.4354	1.8955	1.001	27000	7	35
858	1.1551	0.3629	0.4104	1.8649	1.001	27000	8	35
859	1.1301	0.3693	0.3686	1.8462	1.001	19000	9	35
860	1.1119	0.3749	0.3448	1.8463	1.0014	4600	10	35
861	1.2738	0.3373	0.578	1.9453	1.001	27000	11	35
862	1.258	0.3407	0.5582	1.9169	1.001	21000	12	35
863	1.2259	0.347	0.5256	1.8999	1.001	26000	13	35
864	1.2053	0.3548	0.4809	1.8962	1.001	27000	14	35
865	1.1963	0.362	0.4722	1.8937	1.0015	8300	15	35
866	1.3262	0.3277	0.639	1.9648	1.001	27000	16	35
867	1.3158	0.3253	0.6576	1.9553	1.0009	27000	17	35
868	1.2924	0.3275	0.6293	1.9353	1.001	27000	18	35
869	1.2612	0.3352	0.5757	1.9201	1.001	27000	19	35
870	1.2501	0.3365	0.5569	1.9081	1.001	27000	20	35
871	1.3579	0.317	0.7041	1.9794	1.001	27000	21	35
872	1.3474	0.3133	0.7011	1.9563	1.0011	11000	22	35
873	1.3168	0.3212	0.6665	1.9532	1.001	27000	23	35
874	1.289	0.3288	0.614	1.9406	1.001	19000	24	35
875	1.2795	0.3303	0.6106	1.9369	1.0011	10000	25	35
876	-1.0551	0.4632	-1.9838	-0.2095	1.001	27000	1	36
877	-1.1387	0.4501	-2.0615	-0.2926	1.001	27000	2	36
878	-1.2602	0.4528	-2.1816	-0.3973	1.0012	7000	3	36
879	-1.3604	0.4557	-2.3057	-0.5077	1.0012	9300	4	36
880	-1.3907	0.4493	-2.3173	-0.5346	1.001	27000	5	36
881	-1.0176	0.4489	-1.9456	-0.1891	1.0011	9900	6	36
882	-1.0935	0.4576	-2.0537	-0.2444	1.0011	11000	7	36
883	-1.2135	0.4633	-2.1509	-0.3475	1.0014	4100	8	36
884	-1.2996	0.4485	-2.2271	-0.4577	1.0013	5300	9	36
885	-1.3402	0.4468	-2.2555	-0.489	1.0011	12000	10	36
886	-0.9267	0.4465	-1.8588	-0.1061	1.001	27000	11	36
887	-1.0083	0.447	-1.9443	-0.1829	1.001	27000	12	36
888	-1.133	0.4418	-2.0584	-0.2975	1.001	27000	13	36
889	-1.2195	0.4333	-2.1278	-0.4131	1.001	27000	14	36
890	-1.2573	0.4349	-2.1734	-0.426	1.001	27000	15	36
891	-0.8544	0.4393	-1.7828	-0.0496	1.001	20000	16	36
892	-0.9384	0.4468	-1.8501	-0.1049	1.0019	2200	17	36
893	-1.0607	0.4475	-1.9946	-0.2148	1.0013	6200	18	36
894	-1.1453	0.4415	-2.0597	-0.3099	1.001	19000	19	36
895	-1.184	0.4336	-2.0912	-0.3628	1.0011	15000	20	36
896	-0.8227	0.4374	-1.7231	-0.0195	1.0015	3800	21	36
897	-0.895	0.4335	-1.7912	-0.0916	1.0011	13000	22	36
898	-1.0135	0.4398	-1.9259	-0.1919	1.0012	7900	23	36
899	-1.11	0.4224	-1.9947	-0.2969	1.001	22000	24	36
900	-1.1514	0.4247	-2.039	-0.3438	1.0011	15000	25	36
901	1.2219	0.2237	0.7996	1.6826	1.0022	1700	1	37
902	1.181	0.2285	0.7347	1.6441	1.0011	14000	2	37
903	1.127	0.2412	0.6511	1.606	1.002	1800	3	37
904	1.0658	0.2443	0.5802	1.5537	1.0017	2800	4	37
905	1.0106	0.2499	0.5176	1.4968	1.0019	2100	5	37
906	1.2524	0.2307	0.8188	1.7315	1.0019	2100	6	37
907	1.2177	0.2365	0.7651	1.7025	1.0023	1500	7	37
908	1.1585	0.2377	0.6949	1.6378	1.0021	1700	8	37
909	1.084	0.2461	0.6119	1.5842	1.0011	14000	9	37
910	1.0444	0.2584	0.5338	1.5569	1.0012	7200	10	37
911	1.3122	0.2411	0.8556	1.808	1.0015	3700	11	37
912	1.271	0.2406	0.8077	1.7591	1.0012	9200	12	37
913	1.208	0.252	0.7235	1.7172	1.0033	840	13	37
914	1.1333	0.2516	0.6512	1.6423	1.0017	2900	14	37
915	1.072	0.259	0.5775	1.6014	1.0013	5300	15	37
916	1.3744	0.252	0.9003	1.8976	1.0009	27000	16	37
917	1.3371	0.2544	0.8582	1.8595	1.0013	6400	17	37
918	1.2706	0.2612	0.7763	1.7987	1.0032	900	18	37
919	1.183	0.26	0.6774	1.7047	1.0013	5300	19	37
920	1.1278	0.263	0.6278	1.6627	1.001	27000	20	37
921	1.4057	0.2617	0.9119	1.939	1.0018	2400	21	37
922	1.3602	0.259	0.8746	1.8916	1.0016	3000	22	37
923	1.299	0.2591	0.8078	1.8348	1.003	980	23	37
924	1.2164	0.2631	0.7122	1.7505	1.0016	2900	24	37
925	1.17	0.2643	0.67	1.7066	1.0023	1500	25	37
926	-0.3213	0.2539	-0.8682	0.1488	1.0011	18000	1	38
927	-0.3538	0.2804	-0.9821	0.1551	1.001	25000	2	38
928	-0.4258	0.3123	-1.1475	0.1129	1.001	27000	3	38
929	-0.5277	0.3691	-1.4068	0.0863	1.0013	5600	4	38
930	-0.6002	0.4011	-1.5388	0.057	1.0013	5600	5	38
931	-0.3018	0.2629	-0.8752	0.1886	1.0019	2100	6	38
932	-0.3277	0.2781	-0.9491	0.1817	1.001	27000	7	38
933	-0.412	0.3242	-1.1538	0.1534	1.002	1900	8	38
934	-0.5094	0.3754	-1.4007	0.1169	1.001	27000	9	38
935	-0.5707	0.3977	-1.4872	0.0867	1.001	27000	10	38
936	-0.2552	0.2778	-0.8466	0.2712	1.0012	8000	11	38
937	-0.2968	0.2988	-0.9547	0.2528	1.0015	3900	12	38
938	-0.3586	0.3209	-1.0754	0.2107	1.0016	3000	13	38
939	-0.4712	0.3716	-1.3234	0.1741	1.002	1800	14	38
940	-0.542	0.3979	-1.4564	0.1307	1.0014	4800	15	38
941	-0.2099	0.2892	-0.8219	0.3362	1.001	27000	16	38
942	-0.2492	0.3053	-0.9046	0.325	1.0015	3500	17	38
943	-0.3217	0.3307	-1.0619	0.2798	1.0011	17000	18	38
944	-0.4211	0.3697	-1.2616	0.2285	1.001	27000	19	38
945	-0.4982	0.3976	-1.3858	0.2014	1.0015	3300	20	38
946	-0.1966	0.3072	-0.843	0.3907	1.0011	16000	21	38
947	-0.2219	0.3084	-0.8693	0.3683	1.0013	5500	22	38
948	-0.2956	0.3352	-1.0249	0.3275	1.0016	3100	23	38
949	-0.4139	0.3828	-1.2694	0.2572	1.001	27000	24	38
950	-0.4713	0.3992	-1.3528	0.2356	1.0013	4900	25	38
