node             50%	sd	2.5%	97.5%	Rhat	n.eff   scen    NMA		
SMD[3,2]	0.0866	0.1267	-0.1648	0.338	1.001	27000	2	3
SMD[4,2]	0.021	0.1364	-0.2443	0.295	1.0009	27000	2	3
SMD[5,2]	0.1818	0.1034	-0.0235	0.3866	1.0011	17000	2	3
SMD[6,2]	0.6677	0.26	0.1664	1.1801	1.001	27000	2	3
SMD[7,2]	-0.1851	0.0783	-0.3405	-0.0326	1.0011	17000	2	3
SMD[8,2]	0.3157	0.1424	0.0322	0.5931	1.001	27000	2	3
SMD[9,2]	0.0113	0.0856	-0.1581	0.1782	1.001	27000	2	3
SMD[10,2]	-0.0539	0.0826	-0.2158	0.1092	1.001	25000	2	3
SMD[11,2]	-0.1313	0.0867	-0.3025	0.0382	1.001	19000	2	3
SMD[12,2]	0.0143	0.093	-0.1703	0.196	1.001	27000	2	3
SMD[13,2]	0.4295	0.1051	0.2218	0.6341	1.0009	27000	2	3
SMD[14,2]	0.1626	0.1041	-0.0441	0.3655	1.0011	10000	2	3
SMD[4,3]	-0.0659	0.1628	-0.3793	0.263	1.001	27000	2	3
SMD[5,3]	0.0959	0.1307	-0.1623	0.3519	1.0011	16000	2	3
SMD[6,3]	0.5802	0.2742	0.0464	1.1237	1.001	27000	2	3
SMD[7,3]	-0.2715	0.122	-0.5149	-0.0314	1.0011	15000	2	3
SMD[8,3]	0.2304	0.166	-0.1013	0.552	1.001	27000	2	3
SMD[9,3]	-0.0745	0.1239	-0.3207	0.1671	1.001	27000	2	3
SMD[10,3]	-0.1402	0.1081	-0.35	0.0763	1.001	23000	2	3
SMD[11,3]	-0.2174	0.1227	-0.462	0.0259	1.001	27000	2	3
SMD[12,3]	-0.072	0.1279	-0.3243	0.1774	1.001	27000	2	3
SMD[13,3]	0.3426	0.1379	0.0696	0.6156	1.001	27000	2	3
SMD[14,3]	0.0764	0.1366	-0.195	0.345	1.0011	11000	2	3
SMD[5,4]	0.1605	0.1423	-0.1231	0.4363	1.001	27000	2	3
SMD[6,4]	0.6441	0.2798	0.1009	1.2006	1.001	27000	2	3
SMD[7,4]	-0.2075	0.1301	-0.4674	0.0445	1.001	27000	2	3
SMD[8,4]	0.2946	0.1748	-0.0547	0.6293	1.001	27000	2	3
SMD[9,4]	-0.0097	0.1315	-0.2743	0.2446	1.001	27000	2	3
SMD[10,4]	-0.0759	0.1308	-0.3335	0.1806	1.001	27000	2	3
SMD[11,4]	-0.153	0.1354	-0.4241	0.1083	1.001	27000	2	3
SMD[12,4]	-0.0079	0.1386	-0.2848	0.26	1.001	27000	2	3
SMD[13,4]	0.4076	0.1467	0.1126	0.6884	1.0009	27000	2	3
SMD[14,4]	0.1404	0.1468	-0.1526	0.4238	1.0011	18000	2	3
SMD[6,5]	0.4865	0.264	-0.027	1.0091	1.001	27000	2	3
SMD[7,5]	-0.3672	0.0985	-0.5614	-0.1722	1.001	24000	2	3
SMD[8,5]	0.1342	0.1498	-0.1612	0.4252	1.0012	9600	2	3
SMD[9,5]	-0.17	0.0984	-0.3668	0.0209	1.001	27000	2	3
SMD[10,5]	-0.2354	0.082	-0.3947	-0.0734	1.001	27000	2	3
SMD[11,5]	-0.3123	0.0994	-0.5095	-0.1167	1.0012	8500	2	3
SMD[12,5]	-0.1672	0.1048	-0.374	0.0399	1.001	27000	2	3
SMD[13,5]	0.2481	0.1157	0.0174	0.4749	1.001	27000	2	3
SMD[14,5]	-0.0185	0.1154	-0.2493	0.2073	1.001	27000	2	3
SMD[7,6]	-0.8517	0.2589	-1.3633	-0.3561	1.001	27000	2	3
SMD[8,6]	-0.3504	0.2815	-0.9117	0.1924	1.001	27000	2	3
SMD[9,6]	-0.6543	0.2584	-1.1703	-0.1594	1.001	27000	2	3
SMD[10,6]	-0.7207	0.257	-1.2304	-0.2213	1.001	27000	2	3
SMD[11,6]	-0.798	0.2585	-1.3119	-0.2995	1.001	27000	2	3
SMD[12,6]	-0.6518	0.261	-1.1703	-0.1483	1.001	27000	2	3
SMD[13,6]	-0.238	0.2645	-0.7633	0.2728	1.001	27000	2	3
SMD[14,6]	-0.5065	0.2643	-1.0296	0.0015	1.001	27000	2	3
SMD[8,7]	0.5021	0.1401	0.2214	0.7721	1.0011	9800	2	3
SMD[9,7]	0.196	0.0833	0.0338	0.3593	1.001	22000	2	3
SMD[10,7]	0.1313	0.074	-0.0119	0.281	1.0011	13000	2	3
SMD[11,7]	0.0538	0.0784	-0.101	0.2087	1.0014	4400	2	3
SMD[12,7]	0.1991	0.0864	0.029	0.3697	1.001	20000	2	3
SMD[13,7]	0.6141	0.1023	0.4141	0.8139	1.001	27000	2	3
SMD[14,7]	0.3473	0.097	0.1567	0.5399	1.0011	15000	2	3
SMD[9,8]	-0.3043	0.1288	-0.5576	-0.0504	1.0011	12000	2	3
SMD[10,8]	-0.3696	0.1366	-0.6358	-0.0977	1.0011	13000	2	3
SMD[11,8]	-0.4482	0.1402	-0.7207	-0.1717	1.001	27000	2	3
SMD[12,8]	-0.3023	0.1423	-0.581	-0.02	1.0011	14000	2	3
SMD[13,8]	0.1135	0.1497	-0.1813	0.4084	1.001	27000	2	3
SMD[14,8]	-0.1537	0.1512	-0.45	0.141	1.0012	7200	2	3
SMD[10,9]	-0.065	0.0765	-0.2134	0.087	1.0009	27000	2	3
SMD[11,9]	-0.1428	0.0836	-0.3048	0.0217	1.0011	12000	2	3
SMD[12,9]	0.0032	0.084	-0.1606	0.1689	1.0009	27000	2	3
SMD[13,9]	0.4187	0.0941	0.2323	0.5998	1.001	27000	2	3
SMD[14,9]	0.1502	0.1027	-0.0484	0.3527	1.001	27000	2	3
SMD[11,10]	-0.0778	0.0751	-0.2283	0.0685	1.0011	10000	2	3
SMD[12,10]	0.0679	0.085	-0.1011	0.2336	1.0009	27000	2	3
SMD[13,10]	0.4824	0.0983	0.288	0.6743	1.001	27000	2	3
SMD[14,10]	0.2163	0.0976	0.0201	0.4052	1.001	27000	2	3
SMD[12,11]	0.1463	0.0848	-0.0203	0.3149	1.0011	13000	2	3
SMD[13,11]	0.5602	0.1021	0.3588	0.7614	1.001	26000	2	3
SMD[14,11]	0.294	0.1012	0.0945	0.4918	1.0013	5800	2	3
SMD[13,12]	0.4146	0.1054	0.2058	0.6203	1.001	27000	2	3
SMD[14,12]	0.1478	0.1064	-0.0613	0.3561	1.001	27000	2	3
SMD[14,13]	-0.2668	0.1163	-0.4945	-0.0379	1.0011	16000	2	3
SMD[2,1]	-0.3948	0.0657	-0.5248	-0.2664	1.001	27000	3	3
SMD[3,1]	-0.3085	0.1081	-0.5246	-0.0953	1.0011	14000	3	3
SMD[4,1]	-0.3756	0.121	-0.6089	-0.1319	1.001	27000	3	3
SMD[5,1]	-0.2145	0.0801	-0.3715	-0.0563	1.0011	11000	3	3
SMD[6,1]	0.2598	0.2502	-0.2281	0.7516	1.001	27000	3	3
SMD[7,1]	-0.58	0.0612	-0.6995	-0.459	1.001	27000	3	3
SMD[8,1]	-0.0779	0.1275	-0.3285	0.1706	1.0011	11000	3	3
SMD[9,1]	-0.3832	0.0624	-0.5069	-0.2622	1.001	27000	3	3
SMD[10,1]	-0.4505	0.0533	-0.5525	-0.3433	1.001	27000	3	3
SMD[11,1]	-0.5274	0.0593	-0.6447	-0.41	1.0012	8200	3	3
SMD[12,1]	-0.3815	0.0679	-0.5163	-0.2482	1.0011	18000	3	3
SMD[13,1]	0.0361	0.0821	-0.1229	0.1995	1.0011	10000	3	3
SMD[14,1]	-0.2338	0.0812	-0.3951	-0.0769	1.0013	5200	3	3
SMD[3,2]	0.0867	0.1262	-0.1629	0.3332	1.0011	14000	3	3
SMD[4,2]	0.0197	0.1358	-0.2425	0.2898	1.001	27000	3	3
SMD[5,2]	0.1811	0.1023	-0.0209	0.382	1.001	27000	3	3
SMD[6,2]	0.6543	0.258	0.157	1.1623	1.001	27000	3	3
SMD[7,2]	-0.1848	0.0788	-0.3394	-0.0272	1.001	21000	3	3
SMD[8,2]	0.3175	0.142	0.0368	0.5925	1.0011	14000	3	3
SMD[9,2]	0.0125	0.0857	-0.1589	0.1793	1.001	27000	3	3
SMD[10,2]	-0.0552	0.082	-0.215	0.1079	1.001	27000	3	3
SMD[11,2]	-0.1323	0.0862	-0.304	0.0398	1.0011	18000	3	3
SMD[12,2]	0.014	0.0923	-0.1694	0.1945	1.001	27000	3	3
SMD[13,2]	0.4315	0.1038	0.2289	0.6356	1.001	24000	3	3
SMD[14,2]	0.1611	0.1027	-0.0397	0.3626	1.0013	6300	3	3
SMD[4,3]	-0.0669	0.161	-0.3765	0.2551	1.001	27000	3	3
SMD[5,3]	0.0941	0.1289	-0.1605	0.3535	1.0012	7600	3	3
SMD[6,3]	0.5705	0.2721	0.0334	1.0988	1.001	27000	3	3
SMD[7,3]	-0.2706	0.1218	-0.5119	-0.0292	1.001	27000	3	3
SMD[8,3]	0.2305	0.1672	-0.0975	0.5589	1.0012	6900	3	3
SMD[9,3]	-0.0733	0.1232	-0.316	0.1701	1.001	27000	3	3
SMD[10,3]	-0.1419	0.1064	-0.3515	0.072	1.001	19000	3	3
SMD[11,3]	-0.2183	0.1217	-0.4563	0.0219	1.001	24000	3	3
SMD[12,3]	-0.0725	0.1265	-0.3234	0.1773	1.0011	13000	3	3
SMD[13,3]	0.3451	0.1349	0.0799	0.6136	1.0011	12000	3	3
SMD[14,3]	0.0753	0.1348	-0.1925	0.3411	1.0011	11000	3	3
SMD[5,4]	0.1598	0.1399	-0.1162	0.4339	1.001	27000	3	3
SMD[6,4]	0.6335	0.2776	0.0931	1.1827	1.001	27000	3	3
SMD[7,4]	-0.2037	0.1296	-0.4653	0.0434	1.001	27000	3	3
SMD[8,4]	0.2974	0.1752	-0.0572	0.6351	1.0011	12000	3	3
SMD[9,4]	-0.0074	0.1303	-0.2703	0.2402	1.001	27000	3	3
SMD[10,4]	-0.0746	0.1286	-0.3338	0.1775	1.001	27000	3	3
SMD[11,4]	-0.152	0.134	-0.421	0.1071	1.0009	27000	3	3
SMD[12,4]	-0.0065	0.1361	-0.2777	0.2584	1.001	27000	3	3
SMD[13,4]	0.4123	0.1446	0.1217	0.6933	1.001	27000	3	3
SMD[14,4]	0.1424	0.1458	-0.1536	0.4193	1.0012	9500	3	3
SMD[6,5]	0.4741	0.2629	-0.044	0.9947	1.001	27000	3	3
SMD[7,5]	-0.3653	0.098	-0.5604	-0.1709	1.0012	8000	3	3
SMD[8,5]	0.1349	0.1504	-0.1615	0.4303	1.0011	11000	3	3
SMD[9,5]	-0.169	0.0984	-0.3636	0.0232	1.0012	8700	3	3
SMD[10,5]	-0.2359	0.0824	-0.3974	-0.0698	1.0011	11000	3	3
SMD[11,5]	-0.3134	0.0975	-0.5073	-0.1207	1.0011	15000	3	3
SMD[12,5]	-0.1668	0.1034	-0.3725	0.0385	1.001	27000	3	3
SMD[13,5]	0.25	0.1139	0.0247	0.4753	1.001	27000	3	3
SMD[14,5]	-0.0199	0.114	-0.245	0.2065	1.0015	3800	3	3
SMD[7,6]	-0.8384	0.2574	-1.3463	-0.3403	1.001	27000	3	3
SMD[8,6]	-0.3395	0.2816	-0.8962	0.2062	1.0011	16000	3	3
SMD[9,6]	-0.644	0.2575	-1.1478	-0.1451	1.001	27000	3	3
SMD[10,6]	-0.7097	0.2553	-1.214	-0.2119	1.001	27000	3	3
SMD[11,6]	-0.7882	0.2573	-1.2929	-0.2843	1.001	27000	3	3
SMD[12,6]	-0.6403	0.2593	-1.1513	-0.1369	1.001	27000	3	3
SMD[13,6]	-0.2239	0.2634	-0.7398	0.2923	1.0009	27000	3	3
SMD[14,6]	-0.4929	0.2618	-1.0091	0.0108	1.0011	14000	3	3
SMD[8,7]	0.5015	0.1402	0.2252	0.7715	1.0011	12000	3	3
SMD[9,7]	0.1965	0.0833	0.0328	0.3586	1.0009	27000	3	3
SMD[10,7]	0.1294	0.0737	-0.0149	0.2755	1.001	27000	3	3
SMD[11,7]	0.0525	0.0777	-0.1012	0.2042	1.0012	9100	3	3
SMD[12,7]	0.1977	0.0857	0.0304	0.367	1.0011	11000	3	3
SMD[13,7]	0.6164	0.1009	0.418	0.8145	1.0011	10000	3	3
SMD[14,7]	0.3461	0.0955	0.1568	0.532	1.0011	12000	3	3
SMD[9,8]	-0.3044	0.1284	-0.5535	-0.0536	1.0012	8900	3	3
SMD[10,8]	-0.3725	0.1366	-0.6374	-0.1012	1.0011	9700	3	3
SMD[11,8]	-0.4484	0.1396	-0.7231	-0.1745	1.0013	5900	3	3
SMD[12,8]	-0.3027	0.1415	-0.5801	-0.0236	1.0012	8800	3	3
SMD[13,8]	0.1153	0.1482	-0.1722	0.4065	1.0012	7000	3	3
SMD[14,8]	-0.1557	0.1508	-0.4531	0.1411	1.0011	14000	3	3
SMD[10,9]	-0.0678	0.0762	-0.2152	0.0842	1.001	27000	3	3
SMD[11,9]	-0.1445	0.0833	-0.3069	0.0204	1.0011	13000	3	3
SMD[12,9]	0.0013	0.0829	-0.1595	0.1654	1.0011	12000	3	3
SMD[13,9]	0.4202	0.0942	0.2355	0.6048	1.0012	8600	3	3
SMD[14,9]	0.149	0.1013	-0.0522	0.3476	1.0011	12000	3	3
SMD[11,10]	-0.0768	0.0742	-0.2238	0.0666	1.001	23000	3	3
SMD[12,10]	0.0683	0.0833	-0.0952	0.2315	1.001	27000	3	3
SMD[13,10]	0.487	0.0971	0.2934	0.6766	1.001	26000	3	3
SMD[14,10]	0.2164	0.096	0.0232	0.4032	1.0013	6300	3	3
SMD[12,11]	0.1461	0.0835	-0.0197	0.3098	1.001	27000	3	3
SMD[13,11]	0.5641	0.101	0.367	0.7629	1.001	27000	3	3
SMD[14,11]	0.2929	0.0994	0.0982	0.49	1.0015	3600	3	3
SMD[13,12]	0.4175	0.1049	0.2105	0.6241	1.001	27000	3	3
SMD[14,12]	0.1483	0.1051	-0.0615	0.3541	1.0014	4200	3	3
SMD[14,13]	-0.2702	0.1152	-0.4997	-0.045	1.0015	3600	3	3
SMD[2,1]	-0.3978	0.0646	-0.525	-0.2692	1.001	27000	4	3
SMD[3,1]	-0.3123	0.1083	-0.5253	-0.0985	1.001	27000	4	3
SMD[4,1]	-0.3784	0.1207	-0.6085	-0.1342	1.001	27000	4	3
SMD[5,1]	-0.2185	0.0804	-0.378	-0.0581	1.0009	27000	4	3
SMD[6,1]	0.2446	0.2512	-0.2489	0.7396	1.001	27000	4	3
SMD[7,1]	-0.5829	0.0612	-0.7042	-0.4636	1.001	27000	4	3
SMD[8,1]	-0.0788	0.1272	-0.3267	0.1722	1.001	27000	4	3
SMD[9,1]	-0.3855	0.0617	-0.5068	-0.2642	1.0009	27000	4	3
SMD[10,1]	-0.4537	0.0528	-0.5559	-0.3482	1.0011	10000	4	3
SMD[11,1]	-0.5297	0.0601	-0.6473	-0.4116	1.001	27000	4	3
SMD[12,1]	-0.3846	0.0684	-0.5225	-0.2521	1.0012	9500	4	3
SMD[13,1]	0.0351	0.0822	-0.1279	0.196	1.0011	10000	4	3
SMD[14,1]	-0.2381	0.0811	-0.4003	-0.082	1.001	27000	4	3
SMD[3,2]	0.0864	0.1254	-0.1621	0.3343	1.001	27000	4	3
SMD[4,2]	0.0201	0.1353	-0.2413	0.2903	1.001	27000	4	3
SMD[5,2]	0.1796	0.1028	-0.0226	0.3841	1.001	27000	4	3
SMD[6,2]	0.6423	0.259	0.1356	1.1515	1.001	27000	4	3
SMD[7,2]	-0.1849	0.0778	-0.3372	-0.0313	1.0009	27000	4	3
SMD[8,2]	0.3195	0.1411	0.0422	0.596	1.001	23000	4	3
SMD[9,2]	0.0127	0.0849	-0.1543	0.1778	1.001	27000	4	3
SMD[10,2]	-0.0555	0.0811	-0.2143	0.1076	1.001	21000	4	3
SMD[11,2]	-0.1319	0.0866	-0.3008	0.0398	1.001	27000	4	3
SMD[12,2]	0.0126	0.0922	-0.1708	0.1954	1.001	24000	4	3
SMD[13,2]	0.4336	0.104	0.2267	0.6367	1.001	27000	4	3
SMD[14,2]	0.1589	0.1028	-0.0458	0.361	1.0009	27000	4	3
SMD[4,3]	-0.0664	0.162	-0.3789	0.2618	1.001	27000	4	3
SMD[5,3]	0.0923	0.1295	-0.1585	0.351	1.001	27000	4	3
SMD[6,3]	0.5546	0.2729	0.0268	1.0956	1.001	27000	4	3
SMD[7,3]	-0.2706	0.1221	-0.512	-0.0319	1.001	27000	4	3
SMD[8,3]	0.2335	0.1653	-0.0904	0.5582	1.001	27000	4	3
SMD[9,3]	-0.0727	0.123	-0.3174	0.1699	1.001	27000	4	3
SMD[10,3]	-0.142	0.1068	-0.3489	0.0727	1.0009	27000	4	3
SMD[11,3]	-0.2175	0.1217	-0.458	0.023	1.001	27000	4	3
SMD[12,3]	-0.0732	0.1276	-0.3265	0.1774	1.001	27000	4	3
SMD[13,3]	0.3472	0.1363	0.0785	0.6164	1.0011	12000	4	3
SMD[14,3]	0.074	0.135	-0.1955	0.3379	1.001	27000	4	3
SMD[5,4]	0.1579	0.1399	-0.1186	0.426	1.001	27000	4	3
SMD[6,4]	0.6205	0.2796	0.0672	1.1738	1.001	27000	4	3
SMD[7,4]	-0.2048	0.1291	-0.4631	0.0418	1.001	27000	4	3
SMD[8,4]	0.2989	0.1739	-0.0478	0.6338	1.0011	17000	4	3
SMD[9,4]	-0.0079	0.1305	-0.2681	0.2415	1.001	27000	4	3
SMD[10,4]	-0.0755	0.1288	-0.3341	0.1722	1.001	24000	4	3
SMD[11,4]	-0.1524	0.1335	-0.4196	0.1025	1.001	27000	4	3
SMD[12,4]	-0.0076	0.1369	-0.2838	0.2553	1.001	27000	4	3
SMD[13,4]	0.4123	0.1446	0.1219	0.6897	1.001	27000	4	3
SMD[14,4]	0.1392	0.1449	-0.1518	0.4167	1.001	27000	4	3
SMD[6,5]	0.4644	0.264	-0.0555	0.9809	1.001	27000	4	3
SMD[7,5]	-0.3649	0.0981	-0.5598	-0.1717	1.001	27000	4	3
SMD[8,5]	0.1403	0.1487	-0.1503	0.4323	1.001	27000	4	3
SMD[9,5]	-0.1666	0.098	-0.3609	0.0257	1.0009	27000	4	3
SMD[10,5]	-0.2357	0.0821	-0.3943	-0.0705	1.0011	18000	4	3
SMD[11,5]	-0.3117	0.0985	-0.5067	-0.1178	1.0009	27000	4	3
SMD[12,5]	-0.1662	0.1044	-0.3727	0.0371	1.0011	18000	4	3
SMD[13,5]	0.2539	0.115	0.0253	0.478	1.001	23000	4	3
SMD[14,5]	-0.0197	0.1133	-0.2448	0.2	1.001	27000	4	3
SMD[7,6]	-0.8266	0.2589	-1.3324	-0.3206	1.001	27000	4	3
SMD[8,6]	-0.3222	0.2821	-0.8792	0.2302	1.001	27000	4	3
SMD[9,6]	-0.6302	0.2584	-1.1404	-0.125	1.001	27000	4	3
SMD[10,6]	-0.6966	0.2564	-1.1999	-0.1933	1.001	27000	4	3
SMD[11,6]	-0.7738	0.2586	-1.2818	-0.265	1.001	27000	4	3
SMD[12,6]	-0.6272	0.2601	-1.1465	-0.1181	1.001	27000	4	3
SMD[13,6]	-0.209	0.2633	-0.7258	0.3097	1.001	27000	4	3
SMD[14,6]	-0.4827	0.2651	-1.0059	0.0305	1.001	27000	4	3
SMD[8,7]	0.5046	0.1404	0.2288	0.7804	1.001	20000	4	3
SMD[9,7]	0.1969	0.0832	0.0324	0.3594	1.001	27000	4	3
SMD[10,7]	0.1292	0.0737	-0.0122	0.2771	1.0011	14000	4	3
SMD[11,7]	0.0528	0.0775	-0.0997	0.2054	1.001	27000	4	3
SMD[12,7]	0.1974	0.0862	0.0277	0.3661	1.0011	19000	4	3
SMD[13,7]	0.618	0.1018	0.4155	0.8173	1.001	27000	4	3
SMD[14,7]	0.3446	0.0953	0.1545	0.5314	1.0009	27000	4	3
SMD[9,8]	-0.307	0.128	-0.5585	-0.0546	1.001	27000	4	3
SMD[10,8]	-0.3749	0.1358	-0.6403	-0.1075	1.001	27000	4	3
SMD[11,8]	-0.4518	0.1401	-0.7251	-0.1735	1.001	27000	4	3
SMD[12,8]	-0.3069	0.1419	-0.5882	-0.0307	1.001	25000	4	3
SMD[13,8]	0.1147	0.1496	-0.1803	0.4084	1.0012	9400	4	3
SMD[14,8]	-0.16	0.1506	-0.4561	0.1331	1.001	27000	4	3
SMD[10,9]	-0.0678	0.0756	-0.2168	0.0807	1.0011	17000	4	3
SMD[11,9]	-0.1445	0.0835	-0.3082	0.0208	1.0009	27000	4	3
SMD[12,9]	4e-04	0.0834	-0.1646	0.1647	1.0011	12000	4	3
SMD[13,9]	0.4211	0.0939	0.2356	0.6063	1.0011	13000	4	3
SMD[14,9]	0.1473	0.1013	-0.0545	0.3431	1.001	27000	4	3
SMD[11,10]	-0.0761	0.0742	-0.2245	0.0684	1.0011	14000	4	3
SMD[12,10]	0.0681	0.0844	-0.101	0.23	1.001	27000	4	3
SMD[13,10]	0.4886	0.097	0.2929	0.6758	1.0012	7900	4	3
SMD[14,10]	0.2149	0.0956	0.0225	0.3987	1.001	27000	4	3
SMD[12,11]	0.1451	0.0843	-0.0216	0.3115	1.0011	11000	4	3
SMD[13,11]	0.5641	0.1014	0.365	0.7635	1.0011	16000	4	3
SMD[14,11]	0.2913	0.0996	0.0917	0.4839	1.001	27000	4	3
SMD[13,12]	0.4202	0.1053	0.2132	0.6301	1.0011	10000	4	3
SMD[14,12]	0.1468	0.1052	-0.0644	0.3511	1.001	27000	4	3
SMD[14,13]	-0.2739	0.1149	-0.5011	-0.0481	1.001	27000	4	3
SMD[2,1]	-0.4008	0.065	-0.5297	-0.2731	1.001	27000	5	3
SMD[3,1]	-0.3168	0.1073	-0.5273	-0.102	1.0009	27000	5	3
SMD[4,1]	-0.3826	0.1218	-0.6131	-0.1355	1.0011	11000	5	3
SMD[5,1]	-0.2212	0.0799	-0.3781	-0.0632	1.001	27000	5	3
SMD[6,1]	0.2195	0.2499	-0.2646	0.714	1.001	27000	5	3
SMD[7,1]	-0.5864	0.0604	-0.7054	-0.4677	1.0009	27000	5	3
SMD[8,1]	-0.0796	0.1267	-0.3311	0.1673	1.001	27000	5	3
SMD[9,1]	-0.3887	0.062	-0.512	-0.2692	1.0011	16000	5	3
SMD[10,1]	-0.4561	0.0526	-0.5575	-0.3513	1.001	27000	5	3
SMD[11,1]	-0.5335	0.0595	-0.651	-0.4173	1.001	27000	5	3
SMD[12,1]	-0.389	0.068	-0.5242	-0.256	1.001	27000	5	3
SMD[13,1]	0.0319	0.0822	-0.1291	0.1921	1.001	20000	5	3
SMD[14,1]	-0.2434	0.0814	-0.4067	-0.0857	1.0011	13000	5	3
SMD[3,2]	0.0848	0.1254	-0.163	0.3317	1.0009	27000	5	3
SMD[4,2]	0.0186	0.1357	-0.2438	0.2928	1.0011	17000	5	3
SMD[5,2]	0.1795	0.1019	-0.0184	0.3819	1.001	27000	5	3
SMD[6,2]	0.6226	0.258	0.1204	1.1311	1.001	27000	5	3
SMD[7,2]	-0.1853	0.0779	-0.3393	-0.0312	1.001	27000	5	3
SMD[8,2]	0.3214	0.1413	0.0421	0.596	1.001	27000	5	3
SMD[9,2]	0.0115	0.0844	-0.1531	0.1797	1.001	23000	5	3
SMD[10,2]	-0.0557	0.0812	-0.2128	0.1073	1.0009	27000	5	3
SMD[11,2]	-0.1329	0.0861	-0.3033	0.0384	1.001	27000	5	3
SMD[12,2]	0.0126	0.092	-0.1698	0.1931	1.001	27000	5	3
SMD[13,2]	0.4343	0.1032	0.229	0.636	1.0011	13000	5	3
SMD[14,2]	0.1577	0.1031	-0.0487	0.3576	1.001	24000	5	3
SMD[4,3]	-0.0657	0.1613	-0.3807	0.2589	1.001	21000	5	3
SMD[5,3]	0.0947	0.1284	-0.1584	0.3507	1.001	27000	5	3
SMD[6,3]	0.536	0.2715	0.0075	1.0763	1.001	27000	5	3
SMD[7,3]	-0.2701	0.1206	-0.508	-0.0338	1.0009	27000	5	3
SMD[8,3]	0.2358	0.1647	-0.0911	0.5573	1.001	27000	5	3
SMD[9,3]	-0.0723	0.1221	-0.3151	0.1674	1.001	27000	5	3
SMD[10,3]	-0.1402	0.1056	-0.3466	0.0699	1.0009	27000	5	3
SMD[11,3]	-0.2178	0.121	-0.4563	0.0199	1.0009	27000	5	3
SMD[12,3]	-0.0728	0.1265	-0.3257	0.177	1.0009	27000	5	3
SMD[13,3]	0.3488	0.1346	0.0806	0.6125	1.001	27000	5	3
SMD[14,3]	0.0724	0.1341	-0.1946	0.3365	1.001	27000	5	3
SMD[5,4]	0.1614	0.1407	-0.1208	0.4316	1.001	21000	5	3
SMD[6,4]	0.6028	0.2777	0.0558	1.1446	1.0009	27000	5	3
SMD[7,4]	-0.2034	0.1294	-0.4625	0.0454	1.0011	15000	5	3
SMD[8,4]	0.3025	0.1749	-0.0496	0.6404	1.0011	18000	5	3
SMD[9,4]	-0.0052	0.1314	-0.2689	0.2469	1.0012	6900	5	3
SMD[10,4]	-0.0742	0.1297	-0.3327	0.1758	1.0011	16000	5	3
SMD[11,4]	-0.1507	0.1347	-0.4208	0.1064	1.0011	18000	5	3
SMD[12,4]	-0.0061	0.1381	-0.2866	0.2571	1.0011	13000	5	3
SMD[13,4]	0.4148	0.1458	0.1243	0.6953	1.0012	7600	5	3
SMD[14,4]	0.1394	0.1455	-0.1539	0.4192	1.0012	7300	5	3
SMD[6,5]	0.4426	0.2621	-0.0734	0.9561	1.001	27000	5	3
SMD[7,5]	-0.3648	0.0971	-0.5574	-0.1758	1.0009	27000	5	3
SMD[8,5]	0.1415	0.1482	-0.1541	0.4316	1.001	27000	5	3
SMD[9,5]	-0.1674	0.0976	-0.3597	0.0231	1.001	19000	5	3
SMD[10,5]	-0.2351	0.0817	-0.3948	-0.0722	1.001	27000	5	3
SMD[11,5]	-0.3115	0.097	-0.5063	-0.1224	1.0009	27000	5	3
SMD[12,5]	-0.1675	0.1034	-0.3713	0.0354	1.001	27000	5	3
SMD[13,5]	0.2531	0.1137	0.0288	0.4738	1.001	25000	5	3
SMD[14,5]	-0.0213	0.1133	-0.247	0.2023	1.0011	15000	5	3
SMD[7,6]	-0.8072	0.2566	-1.3141	-0.3101	1.001	27000	5	3
SMD[8,6]	-0.3021	0.28	-0.8499	0.2473	1.001	27000	5	3
SMD[9,6]	-0.6094	0.258	-1.1185	-0.106	1.001	23000	5	3
SMD[10,6]	-0.6768	0.2547	-1.1782	-0.1787	1.001	27000	5	3
SMD[11,6]	-0.753	0.2563	-1.2618	-0.2547	1.001	27000	5	3
SMD[12,6]	-0.6089	0.2589	-1.1244	-0.1038	1.001	27000	5	3
SMD[13,6]	-0.1893	0.2634	-0.7057	0.3239	1.001	19000	5	3
SMD[14,6]	-0.4641	0.2625	-0.9881	0.0489	1.001	21000	5	3
SMD[8,7]	0.5079	0.1392	0.2304	0.78	1.001	27000	5	3
SMD[9,7]	0.1976	0.0824	0.0348	0.3582	1.001	21000	5	3
SMD[10,7]	0.1303	0.0727	-0.0128	0.2748	1.001	27000	5	3
SMD[11,7]	0.0526	0.0766	-0.0981	0.2031	1.0009	27000	5	3
SMD[12,7]	0.1979	0.0855	0.0274	0.365	1.001	27000	5	3
SMD[13,7]	0.6183	0.1005	0.4199	0.8161	1.001	22000	5	3
SMD[14,7]	0.3428	0.0953	0.152	0.5281	1.0011	15000	5	3
SMD[9,8]	-0.3085	0.1281	-0.5577	-0.0527	1.001	27000	5	3
SMD[10,8]	-0.3764	0.1359	-0.6399	-0.1059	1.001	27000	5	3
SMD[11,8]	-0.4528	0.139	-0.7262	-0.1776	1.001	27000	5	3
SMD[12,8]	-0.3096	0.1414	-0.5853	-0.0285	1.001	27000	5	3
SMD[13,8]	0.1126	0.1484	-0.1765	0.4074	1.0011	17000	5	3
SMD[14,8]	-0.1646	0.1495	-0.4573	0.1292	1.001	27000	5	3
