node             50%	sd	2.5%	97.5%	Rhat	n.eff   scen    NMA		
SMD[2,1]	-0.4121	0.0554	-0.5184	-0.2992	1.001	27000	1	2
SMD[3,1]	-0.2762	0.0768	-0.4353	-0.1298	1.0016	3000	1	2
SMD[4,1]	-0.4406	0.1397	-0.7398	-0.1846	1.0013	5300	1	2
SMD[3,2]	0.135	0.0938	-0.0635	0.3096	1.0015	3800	1	2
SMD[4,2]	-0.0285	0.1499	-0.3475	0.2455	1.0013	5700	1	2
SMD[4,3]	-0.1653	0.1558	-0.4844	0.1334	1.0014	4400	1	2
SMD[2,1]	-0.4204	0.0543	-0.5243	-0.309	1.0015	3300	2	2
SMD[3,1]	-0.2862	0.0756	-0.4435	-0.1439	1.001	27000	2	2
SMD[4,1]	-0.4505	0.1373	-0.7414	-0.1962	1.0012	9100	2	2
SMD[3,2]	0.1329	0.0922	-0.0586	0.3066	1.0014	4900	2	2
SMD[4,2]	-0.0303	0.1474	-0.3406	0.2399	1.0014	4600	2	2
SMD[4,3]	-0.1653	0.1533	-0.4765	0.1266	1.0011	12000	2	2
SMD[2,1]	-0.4285	0.0536	-0.5332	-0.322	1.0012	6900	3	2
SMD[3,1]	-0.3025	0.0746	-0.4541	-0.1628	1.001	27000	3	2
SMD[4,1]	-0.4589	0.1353	-0.7411	-0.2057	1.0012	6700	3	2
SMD[3,2]	0.126	0.0903	-0.0614	0.2956	1.001	27000	3	2
SMD[4,2]	-0.0316	0.144	-0.3341	0.2365	1.001	21000	3	2
SMD[4,3]	-0.1572	0.151	-0.4648	0.1357	1.0011	11000	3	2
SMD[2,1]	-0.4348	0.053	-0.539	-0.3306	1.0012	9700	4	2
SMD[3,1]	-0.3086	0.075	-0.4685	-0.1699	1.0011	13000	4	2
SMD[4,1]	-0.4703	0.1348	-0.7552	-0.2217	1.001	27000	4	2
SMD[3,2]	0.1259	0.0899	-0.0626	0.2928	1.0009	27000	4	2
SMD[4,2]	-0.0341	0.144	-0.3409	0.2282	1.0011	18000	4	2
SMD[4,3]	-0.1624	0.1511	-0.4677	0.1337	1.0011	16000	4	2
SMD[2,1]	-0.4438	0.053	-0.5477	-0.3387	1.0014	4000	5	2
SMD[3,1]	-0.322	0.0749	-0.4776	-0.1831	1.002	2000	5	2
SMD[4,1]	-0.4845	0.1352	-0.7683	-0.2337	1.0017	2700	5	2
SMD[3,2]	0.1224	0.0905	-0.0658	0.2906	1.0013	5700	5	2
SMD[4,2]	-0.04	0.1434	-0.3376	0.2258	1.0013	5500	5	2
SMD[4,3]	-0.1628	0.1501	-0.4655	0.1301	1.0015	3300	5	2
SMD[2,1]	-0.4002	0.0522	-0.4997	-0.2929	1.0012	7500	6	2
SMD[3,1]	-0.2582	0.0716	-0.3984	-0.1167	1.0011	14000	6	2
SMD[4,1]	-0.3848	0.1291	-0.6489	-0.1367	1.0015	3900	6	2
SMD[3,2]	0.1429	0.0876	-0.0338	0.3089	1.0012	9100	6	2
SMD[4,2]	0.0165	0.138	-0.2709	0.2762	1.0015	3800	6	2
SMD[4,3]	-0.1259	0.147	-0.4267	0.1608	1.0011	10000	6	2
SMD[2,1]	-0.4081	0.0517	-0.5058	-0.303	1.0016	3200	7	2
SMD[3,1]	-0.2671	0.0704	-0.4081	-0.1299	1.0021	1700	7	2
SMD[4,1]	-0.3996	0.1272	-0.6527	-0.1542	1.001	27000	7	2
SMD[3,2]	0.1416	0.0863	-0.0342	0.3051	1.0011	10000	7	2
SMD[4,2]	0.0089	0.1363	-0.2728	0.2678	1.0012	8300	7	2
SMD[4,3]	-0.1329	0.1433	-0.4253	0.1457	1.0015	3900	7	2
SMD[2,1]	-0.4162	0.0516	-0.5159	-0.3124	1.0011	14000	8	2
SMD[3,1]	-0.2787	0.0703	-0.4188	-0.1422	1.0011	12000	8	2
SMD[4,1]	-0.4087	0.1246	-0.6624	-0.1712	1.0013	5000	8	2
SMD[3,2]	0.1382	0.0863	-0.0378	0.3034	1.001	27000	8	2
SMD[4,2]	0.0081	0.1351	-0.2693	0.2629	1.0015	3800	8	2
SMD[4,3]	-0.1308	0.1401	-0.4107	0.1442	1.0015	3700	8	2
SMD[2,1]	-0.4211	0.0501	-0.5202	-0.3224	1.0014	4100	9	2
SMD[3,1]	-0.2906	0.0702	-0.4327	-0.1568	1.001	27000	9	2
SMD[4,1]	-0.421	0.1242	-0.6761	-0.1837	1.0015	3500	9	2
SMD[3,2]	0.13	0.0844	-0.0389	0.2946	1.0011	13000	9	2
SMD[4,2]	-0.001	0.1325	-0.2775	0.2504	1.0019	2200	9	2
SMD[4,3]	-0.1297	0.1408	-0.4125	0.1408	1.0015	3700	9	2
SMD[2,1]	-0.4321	0.0503	-0.5288	-0.3303	1.0027	1200	10	2
SMD[3,1]	-0.301	0.0689	-0.4411	-0.1693	1.0014	4400	10	2
SMD[4,1]	-0.4369	0.1223	-0.6855	-0.2012	1.0032	910	10	2
SMD[3,2]	0.13	0.0837	-0.039	0.2911	1.0017	2800	10	2
SMD[4,2]	-0.0039	0.1318	-0.2754	0.2466	1.0042	610	10	2
SMD[4,3]	-0.1344	0.1385	-0.4169	0.1328	1.0025	1300	10	2
SMD[2,1]	-0.3903	0.0512	-0.4875	-0.284	1.0026	1200	11	2
SMD[3,1]	-0.2393	0.0703	-0.3798	-0.1025	1.0011	10000	11	2
SMD[4,1]	-0.3438	0.1253	-0.5915	-0.0972	1.0011	11000	11	2
SMD[3,2]	0.1513	0.0852	-0.0224	0.3127	1.0013	5600	11	2
SMD[4,2]	0.0459	0.1338	-0.2244	0.3045	1.001	27000	11	2
SMD[4,3]	-0.105	0.1418	-0.3836	0.1721	1.001	27000	11	2
SMD[2,1]	-0.3971	0.0506	-0.4937	-0.295	1.001	27000	12	2
SMD[3,1]	-0.2518	0.068	-0.3871	-0.1194	1.0032	910	12	2
SMD[4,1]	-0.3559	0.1227	-0.6009	-0.1172	1.0017	2700	12	2
SMD[3,2]	0.1456	0.0835	-0.0238	0.3049	1.0022	1600	12	2
SMD[4,2]	0.0418	0.132	-0.2256	0.2969	1.0016	3000	12	2
SMD[4,3]	-0.1026	0.1385	-0.3773	0.1746	1.0018	2400	12	2
SMD[2,1]	-0.405	0.0498	-0.4993	-0.3033	1.0011	12000	13	2
SMD[3,1]	-0.2631	0.0685	-0.4005	-0.1309	1.0013	6000	13	2
SMD[4,1]	-0.3662	0.1206	-0.6053	-0.1282	1.0016	3100	13	2
SMD[3,2]	0.1415	0.0836	-0.0311	0.2977	1.0014	4300	13	2
SMD[4,2]	0.0388	0.1293	-0.2207	0.2896	1.0018	2400	13	2
SMD[4,3]	-0.1035	0.1378	-0.375	0.1676	1.0012	8900	13	2
SMD[2,1]	-0.4116	0.0504	-0.5067	-0.308	1.001	22000	14	2
SMD[3,1]	-0.2744	0.0688	-0.4131	-0.1409	1.0016	3000	14	2
SMD[4,1]	-0.3781	0.1217	-0.6176	-0.1426	1.0016	3200	14	2
SMD[3,2]	0.1376	0.0834	-0.0332	0.2985	1.0016	3000	14	2
SMD[4,2]	0.0324	0.1306	-0.2379	0.2837	1.0015	3900	14	2
SMD[4,3]	-0.1042	0.1389	-0.3752	0.1694	1.0013	5800	14	2
SMD[2,1]	-0.4169	0.0494	-0.5121	-0.3183	1.0011	16000	15	2
SMD[3,1]	-0.2857	0.0686	-0.422	-0.1511	1.0021	1700	15	2
SMD[4,1]	-0.3877	0.1212	-0.6287	-0.1506	1.002	2000	15	2
SMD[3,2]	0.1307	0.0827	-0.0345	0.292	1.0021	1700	15	2
SMD[4,2]	0.0292	0.1303	-0.2313	0.2833	1.0021	1800	15	2
SMD[4,3]	-0.1024	0.1381	-0.3785	0.1693	1.0013	6000	15	2
SMD[2,1]	-0.3769	0.0518	-0.4732	-0.2673	1.0011	11000	16	2
SMD[3,1]	-0.2245	0.0695	-0.3589	-0.0855	1.0017	2700	16	2
SMD[4,1]	-0.3022	0.1243	-0.5399	-0.0488	1.0017	2600	16	2
SMD[3,2]	0.1525	0.085	-0.0195	0.3128	1.0014	4300	16	2
SMD[4,2]	0.0755	0.1328	-0.1886	0.3337	1.0019	2100	16	2
SMD[4,3]	-0.0776	0.1411	-0.3483	0.202	1.0016	3100	16	2
SMD[2,1]	-0.3836	0.0508	-0.4791	-0.2802	1.0011	18000	17	2
SMD[3,1]	-0.2351	0.0688	-0.3712	-0.0996	1.0012	8800	17	2
SMD[4,1]	-0.313	0.122	-0.5488	-0.0656	1.001	27000	17	2
SMD[3,2]	0.1499	0.0838	-0.0199	0.3066	1.0012	7800	17	2
SMD[4,2]	0.0702	0.1304	-0.1857	0.3288	1.001	27000	17	2
SMD[4,3]	-0.0786	0.1385	-0.3474	0.201	1.001	27000	17	2
SMD[2,1]	-0.3913	0.0511	-0.4884	-0.2867	1.0018	2200	18	2
SMD[3,1]	-0.2497	0.0701	-0.3892	-0.1133	1.0013	5400	18	2
SMD[4,1]	-0.3224	0.121	-0.559	-0.0806	1.0011	17000	18	2
SMD[3,2]	0.1407	0.0844	-0.0264	0.3049	1.0012	9600	18	2
SMD[4,2]	0.0697	0.1305	-0.1882	0.329	1.001	27000	18	2
SMD[4,3]	-0.0724	0.1376	-0.3384	0.2051	1.0009	27000	18	2
SMD[2,1]	-0.3987	0.049	-0.4921	-0.2973	1.0012	7200	19	2
SMD[3,1]	-0.2578	0.0671	-0.392	-0.127	1.0022	1600	19	2
SMD[4,1]	-0.3329	0.1214	-0.562	-0.0909	1.0014	4700	19	2
SMD[3,2]	0.1412	0.0815	-0.0249	0.2961	1.0014	4800	19	2
SMD[4,2]	0.065	0.1299	-0.1847	0.32	1.0012	7900	19	2
SMD[4,3]	-0.074	0.1362	-0.3355	0.2015	1.001	27000	19	2
SMD[2,1]	-0.4046	0.0497	-0.4988	-0.3037	1.0011	14000	20	2
SMD[3,1]	-0.2688	0.0686	-0.4042	-0.1362	1.0014	4300	20	2
SMD[4,1]	-0.3421	0.1227	-0.5825	-0.0962	1.0032	880	20	2
SMD[3,2]	0.1362	0.0826	-0.0286	0.2935	1.0013	5700	20	2
SMD[4,2]	0.0624	0.1311	-0.1957	0.3209	1.0033	870	20	2
SMD[4,3]	-0.0724	0.1386	-0.3438	0.1993	1.0035	770	20	2
SMD[2,1]	-0.362	0.0537	-0.4592	-0.2469	1.001	27000	21	2
SMD[3,1]	-0.2089	0.0715	-0.3444	-0.0617	1.001	27000	21	2
SMD[4,1]	-0.256	0.1291	-0.4945	0.0145	1.0014	4700	21	2
SMD[3,2]	0.152	0.087	-0.0213	0.3225	1.001	21000	21	2
SMD[4,2]	0.1053	0.1369	-0.1588	0.3818	1.0012	6700	21	2
SMD[4,3]	-0.0485	0.1445	-0.3227	0.2507	1.0014	4100	21	2
SMD[2,1]	-0.3699	0.0525	-0.4667	-0.2576	1.0025	1300	22	2
SMD[3,1]	-0.2199	0.0707	-0.3535	-0.0748	1.001	27000	22	2
SMD[4,1]	-0.2668	0.1281	-0.5073	4e-04	1.0016	2900	22	2
SMD[3,2]	0.1507	0.0845	-0.0182	0.3129	1.0014	4900	22	2
SMD[4,2]	0.102	0.1352	-0.1548	0.3734	1.0011	18000	22	2
SMD[4,3]	-0.0475	0.1441	-0.3184	0.2456	1.0014	4600	22	2
SMD[2,1]	-0.3776	0.0518	-0.4739	-0.2686	1.0025	1300	23	2
SMD[3,1]	-0.2316	0.071	-0.3707	-0.0911	1.0022	1500	23	2
SMD[4,1]	-0.2787	0.1268	-0.5166	-0.0138	1.0011	9700	23	2
SMD[3,2]	0.1448	0.0856	-0.0251	0.3127	1.0029	1000	23	2
SMD[4,2]	0.0989	0.1345	-0.1628	0.3719	1.0017	2800	23	2
SMD[4,3]	-0.0475	0.1429	-0.3165	0.246	1.0016	3100	23	2
SMD[2,1]	-0.383	0.0513	-0.4795	-0.2765	1.001	27000	24	2
SMD[3,1]	-0.2422	0.0692	-0.3784	-0.1043	1.0013	5100	24	2
SMD[4,1]	-0.2878	0.1251	-0.5303	-0.0324	1.001	27000	24	2
SMD[3,2]	0.1399	0.0837	-0.0274	0.3019	1.0012	7900	24	2
SMD[4,2]	0.095	0.1333	-0.1672	0.3591	1.001	27000	24	2
SMD[4,3]	-0.0446	0.1404	-0.319	0.2368	1.001	27000	24	2
SMD[2,1]	-0.3909	0.0512	-0.4877	-0.286	1.0015	3600	25	2
SMD[3,1]	-0.2546	0.07	-0.3912	-0.114	1.0019	2000	25	2
SMD[4,1]	-0.3017	0.1252	-0.5378	-0.0435	1.0012	7100	25	2
SMD[3,2]	0.1365	0.0844	-0.0319	0.3013	1.002	1900	25	2
SMD[4,2]	0.0911	0.1325	-0.1678	0.3543	1.0013	5400	25	2
SMD[4,3]	-0.0456	0.1411	-0.3199	0.2388	1.0018	2200	25	2
SMD[2,1]	-0.3887	0.0658	-0.5174	-0.2582	1.001	22000	1	3
SMD[3,1]	-0.3024	0.1086	-0.5175	-0.0893	1.0009	27000	1	3
SMD[4,1]	-0.3672	0.1226	-0.5996	-0.1206	1.001	27000	1	3
SMD[5,1]	-0.2069	0.0803	-0.3644	-0.0488	1.001	23000	1	3
SMD[6,1]	0.2903	0.2528	-0.2057	0.7901	1.001	24000	1	3
SMD[7,1]	-0.5734	0.0607	-0.6936	-0.454	1.0012	6600	1	3
SMD[8,1]	-0.0763	0.126	-0.3235	0.167	1.001	27000	1	3
SMD[9,1]	-0.3789	0.0622	-0.5024	-0.2566	1.001	27000	1	3
SMD[10,1]	-0.4418	0.0527	-0.5448	-0.3364	1.0011	18000	1	3
SMD[11,1]	-0.5196	0.0598	-0.6382	-0.4027	1.001	27000	1	3
SMD[12,1]	-0.3739	0.0682	-0.5088	-0.2402	1.001	27000	1	3
SMD[13,1]	0.0398	0.0823	-0.1217	0.2033	1.0011	10000	1	3
